uid,rep,name,cdate,ldate,web,aa,up,down
20,39815,"Issaquah, WA",8/1/2008,10/20/2016,http://nickberardi.com,"<p>In my spare time when not working as a software developer, I contribute to a couple open source projects that I am quite proud of:</p>

<ul>
<li><p><a href=""http://code.google.com/p/elmah"" rel=""nofollow"">ELMAH</a> (Error Logging Modules and Handlers) is an application-wide error logging facility that is completely pluggable. </p></li>
<li><p><a href=""https://github.com/managedfusion/managedfusion-rewriter"" rel=""nofollow"">URL Rewriter</a> a .NET module which mimics the Apache mod_rewrite syntax for support in IIS and Casini</p></li>
<li><p><a href=""https://github.com/managedfusion/fluentcassandra"" rel=""nofollow"">Fluent Cassandra</a> a .NET client for accessing the NoSQL Apache Cassandra database.</p></li>
</ul>

<p>Oh yeah and I also wrote a book:</p>

<ul>
<li>Co-authors of <a href=""http://rads.stackoverflow.com/amzn/click/0470410957"" rel=""nofollow"">ASP.NET MVC 1.0 Website Programming: Problem - Design - Solution</a> published by Wrox and released in June 2009.</li>
</ul>
",883,214
,,,,,,,,
22,39815,"Issaquah, WA",8/1/2008,10/20/2016,http://nickberardi.com,"<p>In my spare time when not working as a software developer, I contribute to a couple open source projects that I am quite proud of:</p>

<ul>
<li><p><a href=""http://code.google.com/p/elmah"" rel=""nofollow"">ELMAH</a> (Error Logging Modules and Handlers) is an application-wide error logging facility that is completely pluggable. </p></li>
<li><p><a href=""https://github.com/managedfusion/managedfusion-rewriter"" rel=""nofollow"">URL Rewriter</a> a .NET module which mimics the Apache mod_rewrite syntax for support in IIS and Casini</p></li>
<li><p><a href=""https://github.com/managedfusion/fluentcassandra"" rel=""nofollow"">Fluent Cassandra</a> a .NET client for accessing the NoSQL Apache Cassandra database.</p></li>
</ul>

<p>Oh yeah and I also wrote a book:</p>

<ul>
<li>Co-authors of <a href=""http://rads.stackoverflow.com/amzn/click/0470410957"" rel=""nofollow"">ASP.NET MVC 1.0 Website Programming: Problem - Design - Solution</a> published by Wrox and released in June 2009.</li>
</ul>
",883,214
,,,,,,,,
17,53680,United States,8/1/2008,2/15/2016,http://www.bob-stanton.com,None,72,21
,,,,,,,,
40,39815,"Issaquah, WA",8/1/2008,10/20/2016,http://nickberardi.com,"<p>In my spare time when not working as a software developer, I contribute to a couple open source projects that I am quite proud of:</p>

<ul>
<li><p><a href=""http://code.google.com/p/elmah"" rel=""nofollow"">ELMAH</a> (Error Logging Modules and Handlers) is an application-wide error logging facility that is completely pluggable. </p></li>
<li><p><a href=""https://github.com/managedfusion/managedfusion-rewriter"" rel=""nofollow"">URL Rewriter</a> a .NET module which mimics the Apache mod_rewrite syntax for support in IIS and Casini</p></li>
<li><p><a href=""https://github.com/managedfusion/fluentcassandra"" rel=""nofollow"">Fluent Cassandra</a> a .NET client for accessing the NoSQL Apache Cassandra database.</p></li>
</ul>

<p>Oh yeah and I also wrote a book:</p>

<ul>
<li>Co-authors of <a href=""http://rads.stackoverflow.com/amzn/click/0470410957"" rel=""nofollow"">ASP.NET MVC 1.0 Website Programming: Problem - Design - Solution</a> published by Wrox and released in June 2009.</li>
</ul>
",883,214
